Index,Token ID,Element,Action,Relative Time,Absolute Time
1423, 052,Exclusive Gateway Split 3,Leave,16905490,03/01/2008
1424, 052,Parallel Gateway Split,Enter,16905490,03/01/2008
1425, 052,Parallel Gateway Split,Leave,16905490,03/01/2008
1426, 052,Record Invoice Receipt,Enter,16905490,03/01/2008
1427, 052,Parallel Gateway Split,Leave,16905490,03/01/2008
1428, 052,Record Goods Receipt,Enter,16905490,03/01/2008
1429, 049,Record Goods Receipt,Leave,16917508,03/01/2008
1430, 049,Parallel Gateway Join,Enter,16917508,03/01/2008
1431, 051,Receive Order Confirmation,Leave,16981571,03/01/2008
1432, 051,Parallel Gateway Split,Enter,16981571,03/01/2008
1433, 051,Parallel Gateway Split,Leave,16981571,03/01/2008
1434, 051,Record Invoice Receipt,Enter,16981571,03/01/2008
1435, 051,Parallel Gateway Split,Leave,16981571,03/01/2008
1436, 051,Record Goods Receipt,Enter,16981571,03/01/2008
1437, 053,START EVENT,Enter,17075714,03/01/2008
1438, 053,START EVENT,Leave,17075714,03/01/2008
1439, 053,Exclusive Gateway Split 1,Enter,17075714,03/01/2008
1440, 053,Exclusive Gateway Split 1,Leave,17075714,03/01/2008
1441, 053,Create Purchase Requisition,Enter,17075714,03/01/2008
1442, 046,Clear Invoice,Leave,17082065,03/01/2008
1443, 046,END EVENT,Enter,17082065,03/01/2008
1444, 046,END EVENT,Leave,17082065,03/01/2008
1445, 053,Create Purchase Requisition,Leave,17091452,03/01/2008
1446, 053,Create Purchase Order,Enter,17091452,03/01/2008
1447, 048,Clear Invoice,Leave,17092212,03/01/2008
1448, 048,END EVENT,Enter,17092212,03/01/2008
1449, 048,END EVENT,Leave,17092212,03/01/2008
1450, 049,Record Invoice Receipt,Leave,17160122,03/01/2008
1451, 049,Parallel Gateway Join,Enter,17160122,03/01/2008
1452, 049,Parallel Gateway Join,Leave,17160122,03/01/2008
1453, 049,Clear Invoice,Enter,17160122,03/01/2008
1454, 053,Create Purchase Order,Leave,17198753,03/01/2008
1455, 053,Exclusive Gateway Split 2,Enter,17198753,03/01/2008
1456, 053,Exclusive Gateway Split 2,Leave,17198753,03/01/2008
1457, 053,Print and Send Purchase Order (Paper),Enter,17198753,03/01/2008
1458, 053,Print and Send Purchase Order (Paper),Leave,17198759,03/01/2008
1459, 053,Exclusive Gateway Split 3,Enter,17198759,03/01/2008
1460, 053,Exclusive Gateway Split 3,Leave,17198759,03/01/2008
1461, 053,Receive Order Confirmation,Enter,17198759,03/01/2008
1462, 047,Clear Invoice,Leave,17354588,03/01/2008
1463, 047,END EVENT,Enter,17354588,03/01/2008
1464, 047,END EVENT,Leave,17354588,03/01/2008
1465, 054,START EVENT,Enter,17403754,03/01/2008
1466, 054,START EVENT,Leave,17403754,03/01/2008
1467, 054,Exclusive Gateway Split 1,Enter,17403754,03/01/2008
1468, 054,Exclusive Gateway Split 1,Leave,17403754,03/01/2008
1469, 054,Create Purchase Order,Enter,17403754,03/01/2008
1470, 054,Create Purchase Order,Leave,17522331,03/01/2008
1471, 054,Exclusive Gateway Split 2,Enter,17522331,03/01/2008
1472, 054,Exclusive Gateway Split 2,Leave,17522331,03/01/2008
1473, 054,Exclusive Gateway Split 3,Enter,17522331,03/01/2008
1474, 054,Exclusive Gateway Split 3,Leave,17522331,03/01/2008
1475, 054,Receive Order Confirmation,Enter,17522331,03/01/2008
1476, 053,Receive Order Confirmation,Leave,17576556,03/01/2008
1477, 053,Parallel Gateway Split,Enter,17576556,03/01/2008
1478, 053,Parallel Gateway Split,Leave,17576556,03/01/2008
1479, 053,Record Invoice Receipt,Enter,17576556,03/01/2008
1480, 053,Parallel Gateway Split,Leave,17576556,03/01/2008
1481, 053,Record Goods Receipt,Enter,17576556,03/01/2008
1482, 049,Clear Invoice,Leave,17604956,03/01/2008
1483, 049,END EVENT,Enter,17604956,03/01/2008
1484, 049,END EVENT,Leave,17604956,03/01/2008
1485, 050,Record Goods Receipt,Leave,17705375,03/01/2008
1486, 050,Parallel Gateway Join,Enter,17705375,03/01/2008
1487, 050,Record Invoice Receipt,Leave,17718010,03/01/2008
1488, 050,Parallel Gateway Join,Enter,17718010,03/01/2008
1489, 050,Parallel Gateway Join,Leave,17718010,03/01/2008
1490, 050,Clear Invoice,Enter,17718010,03/01/2008
1491, 055,START EVENT,Enter,17737007,03/01/2008
1492, 055,START EVENT,Leave,17737007,03/01/2008
1493, 055,Exclusive Gateway Split 1,Enter,17737007,03/01/2008
1494, 055,Exclusive Gateway Split 1,Leave,17737007,03/01/2008
1495, 055,Create Purchase Order,Enter,17737007,03/01/2008
1496, 055,Create Purchase Order,Leave,17856261,03/01/2008
1497, 055,Exclusive Gateway Split 2,Enter,17856261,03/01/2008
1498, 055,Exclusive Gateway Split 2,Leave,17856261,03/01/2008
1499, 055,Print and Send Purchase Order (Paper),Enter,17856261,03/01/2008
1500, 055,Print and Send Purchase Order (Paper),Leave,17856266,03/01/2008
1501, 055,Exclusive Gateway Split 3,Enter,17856266,03/01/2008
1502, 055,Exclusive Gateway Split 3,Leave,17856266,03/01/2008
1503, 055,Receive Order Confirmation,Enter,17856266,03/01/2008
1504, 054,Receive Order Confirmation,Leave,17864465,03/01/2008
1505, 054,Parallel Gateway Split,Enter,17864465,03/01/2008
1506, 054,Parallel Gateway Split,Leave,17864465,03/01/2008
1507, 054,Record Invoice Receipt,Enter,17864465,03/01/2008
1508, 054,Parallel Gateway Split,Leave,17864465,03/01/2008
1509, 054,Record Goods Receipt,Enter,17864465,03/01/2008
1510, 051,Record Goods Receipt,Leave,18038543,03/01/2008
1511, 051,Parallel Gateway Join,Enter,18038543,03/01/2008
1512, 052,Record Invoice Receipt,Leave,18038681,03/01/2008
1513, 052,Parallel Gateway Join,Enter,18038681,03/01/2008
1514, 056,START EVENT,Enter,18059111,03/01/2008
1515, 056,START EVENT,Leave,18059111,03/01/2008
1516, 056,Exclusive Gateway Split 1,Enter,18059111,03/01/2008
1517, 056,Exclusive Gateway Split 1,Leave,18059111,03/01/2008
1518, 056,Create Purchase Requisition,Enter,18059111,03/01/2008
1519, 052,Record Goods Receipt,Leave,18070745,03/01/2008
1520, 052,Parallel Gateway Join,Enter,18070745,03/01/2008
